ID 	MSL	SS	SS_pos 	SS_2014	biome	feature	material	env_package	location	latitude	longitude	depth
4546370.3	30	7.603	13.506	13.477	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4545449.3	30	7.603	13.506	13.477	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4502935.3	31	7.602	13.506	13.568	Prairie Division (250)	field	arable soil	plant-associated	Auburn, IL	39.5997167	-89.7609333	0
4502923.3	31	7.602	13.506	13.568	Prairie Division (250)	field	arable soil	plant-associated	Coulterville, IL	38.198	-89.6276	0
4517064.3	29	7.601	13.515	13.446	air	air	air	air	Beijing	40.0047	116.3261	0
4516952.3	29	7.601	13.515	13.446	air	air	air	air	Beijing	40.0047	116.3261	0
4516911.3	29	7.601	13.515	13.477	air	air	air	air	Beijing	40.0047	116.3261	0
4516910.3	29	7.601	13.515	13.477	air	air	air	air	Beijing	40.0047	116.3261	0
4516651.3	28	7.601	13.515	13.568	air	air	air	air	Beijing	40.0047	116.3261	0
4546367.3	30	7.599	13.506	13.355	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4539521.3	29	7.594	13.506	13.355	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.771111	-92.961667	0
4539520.3	29	7.594	13.506	13.477	terrestrial biome	terrestrial habitat	soil	soil	Iowa	41.771111	-92.961667	0
4460441.3	91	7.593	10.914	11.998	microbial mat	microbial mat	microbial mat	microbial mat|biofilm	0	73	8	2350 ; Meter
4516594.3	28	7.592	13.506	13.568	air	air	air	air	Beijing	40.0047	116.3261	0
4516403.3	29	7.592	13.506	13.446	air	air	air	air	Beijing	40.0047	116.3261	0
4516402.3	29	7.592	13.506	13.568	air	air	air	air	Beijing	40.0047	116.3261	0
4545191.3	30	7.592	13.506	13.568	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4522552.3	32	7.592	13.506	13.568	aquatic biome	microbial feature	sludge	wastewater|sludge	shenzhen xili	22	114	0
4521534.3	32	7.592	13.506	13.568	aquatic biome	microbial feature	sludge	wastewater|sludge	shenzhen xili	22	114	0
4510166.3	32	7.592	13.506	13.477	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.745108	-88.359144	0
4502543.3	31	7.592	13.506	13.568	Prairie Division (250)	field	arable soil	plant-associated	Auburn, IL	39.5997833	-89.7643667	0
4502542.3	32	7.592	13.506	13.568	Prairie Division (250)	field	arable soil	plant-associated	Auburn, IL	39.5997833	-89.7643667	0
4502541.3	32	7.592	13.506	13.568	Prairie Division (250)	field	arable soil	plant-associated	Auburn, IL	39.5997833	-89.7643667	0
4502929.3	31	7.592	13.506	13.568	Prairie Division (250)	field	arable soil	plant-associated	Coulterville, IL	38.1986167	-89.6272	0
4502926.3	31	7.592	13.506	13.568	Prairie Division (250)	field	arable soil	plant-associated	Mansfield, IL	40.2212833	-88.4665333	0
4502933.3	31	7.592	13.506	13.477	Prairie Division (250)	field	arable soil	plant-associated	Wrights IL	39.3788	-90.3226167	0
4510169.3	32	7.582	13.477	13.471	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.704972	-88.492633	0
4545019.3	29	7.581	13.495	13.265	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	9.5580384	111.6420599	0
4545017.3	29	7.581	13.495	13.387	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	7.5580384	109.6420599	0
4461013.3	105	7.581	14.125	14.989	soil	soil	soil	soil	Lucknow	27.0, 24.7	81.08, 57.8	.02 ; Meter
4441596.4	241	7.577	13.785	15.216	marine habitat	marine habitat	marine habitat	water	Galapagos Islands, Coastal Floreana	1.2169	-90.3197	2
4494601.3	138	7.549	13.966	15.223	oceanic mesopelagic zone biome	marine oligotrophic desert	water	water	Sargasso Sea	32.17	-64.5	300
4546374.3	30	7.547	13.45	13.446	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	5.5580384	107.6420599	0
4546293.3	30	7.547	13.45	13.294	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	12.5580384	114.6420599	0
4516459.3	29	7.545	13.459	13.568	air	air	air	air	Beijing	40.0047	116.3261	0
4546292.3	30	7.543	13.45	13.568	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	11.5580384	113.6420599	0
4546375.3	30	7.543	13.446	13.454	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	6.5580384	108.6420599	0
4548349.3	32	7.541	13.455	13.363	marine biome	tidal pool	sediment	microbial mat|biofilm	Schiermonnikoog	53.4785962	6.1560311	0
4494623.3	31	7.539	13.446	13.387	activated sludge	lake	water	wastewater|sludge	Jiangsu	32.05	118.72	0
4531568.3	32	7.539	13.446	13.265	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4516802.3	29	7.536	13.45	13.568	air	air	air	air	Beijing	40.0047	116.3261	0
4516455.3	29	7.536	13.45	13.568	air	air	air	air	Beijing	40.0047	116.3261	0
4516366.3	28	7.536	13.45	13.294	air	air	air	air	Beijing	40.0047	116.3261	0
4546285.3	30	7.536	13.45	13.294	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	4.5580384	106.6420599	0
4546284.3	30	7.536	13.45	13.568	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	3.5580384	105.6420599	0
4546282.3	30	7.536	13.45	13.294	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4546279.3	30	7.536	13.45	13.294	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4545189.3	30	7.536	13.45	13.355	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4494621.3	32	7.532	13.446	13.363	activated sludge	lake	water	wastewater|sludge	Jiangsu	32.05	118.72	0
4545014.3	30	7.532	13.446	13.363	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	4.5580384	106.6420599	0
4494854.3	32	7.532	13.446	13.485	aquatic biome	wastewater treatment plant	activated sludge	wastewater|sludge	Zhecheng Henan province	34.08	115.29	0
4531898.3	32	7.528	13.421	13.288	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4478943.3	141	7.524	13.916	14.58	Tropical and subtropical moist broadleaf forest biome	agricultural soil	bulk soil	soil	Amazonia	-11.7412664	-56.2533385	0
4441618.3	222	7.519	13.752	15.253	marine habitat	marine habitat	marine habitat	water	Indian Ocean - West coast Zanzibar (Tanzania), harbour region	-6.1167	39.1167	1.5
4510167.3	32	7.515	13.41	13.477	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.742525	-88.3705	0
4510164.3	32	7.515	13.41	13.477	marine benthic biome	ocean	marine sediment	sediment	Gulf of Mexico	28.704972	-88.370508	0
4545675.3	30	7.514	13.421	13.44	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
4545681.3	30	7.507	13.421	13.44	anthropogenic terrestrial biome	wastewater treatment plant	sewage	wastewater|sludge	Universiti Teknologi Malaysia	1.5580384	103.6420599	0
