ID 	Public/private	SS	SS_pos 	SS_2014_pos	SS_2014_up	biome	feature	material	env_package	location	latitude	longitude	depth
4441057.3	Public	4.022	9.677	10.234	6.965	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	22.75	-158.033	500
4441057.4	Public	2.394	8.184	10.019	7.182	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	22.75	-158.033	70
4441062.3	Public	5.902	11.557	12.796	9.096	marine habitat	marine habitat	marine habitat	water	HOT station ALOHA	22.75	-158.033	770
4441091.3	Public	1.219	6.878	8.257	5.276	soil	soil	soil	soil	Farm in Waseca County, Minnesota.	43.9614	93.6623	0-.1 ; Meter
4441092.3	Public	7.175	13.643	14.335	10.192	sludge	sludge	sludge	wastewater|sludge	Thornside Sewage Treatment Plant	-27.467	153.01667	0
4441093.3	Public	4.886	11.276	12.061	8.054	sludge	sludge	sludge	wastewater|sludge	Nine Springs Wastwater Treatment Plant, Madison, WI	43.0667	-89.4	0
4441095.3	Public	1.273	6.072	6.868	4.631	hot spring	hot spring	hot spring	water	Yellowstone Natl Park	44.55497	-110.83514	0
4441096.3	Public	2.783	5.571	7.968	7.027	hot spring	hot spring	hot spring	water	Yellowstone Natl Park	44.534167	-110.797944	0
4441102.3	Public	9.986	14.765	14.952	11.741	hydrothermal vent	hydrothermal vent	hydrothermal vent	water	Black smoker chimneys on East Pacific Rise	9.84	-104.28	2500
4441121.3	Public	0.585	1.891	2.231	2.348	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Tikehau Lagoon	-15.2778	-148.224	1.2
4441124.3	Public	-0.575	1.49	2.341	1.892	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	-2.58194	-97.85139	1.8
4441125.3	Public	2.036	4.313	4.928	4.298	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	-4.49889	-105.07	2.2
4441126.3	Public	-0.897	1.435	2.405	1.45	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	-5.93	-108.68694	2
4441127.3	Public	0.35	1.882	2.618	2.27	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	-7.1075	-116.119	1.7
4441128.3	Public	-0.787	3.007	3.401	2.052	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	-7.6611	-120.402	1.9
4441129.3	Public	-0.779	1.891	2.709	1.898	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 600 miles from F. Polynesia	-8.415	-124.2397	2
4441130.3	Public	-1.602	2.068	2.716	1.411	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 400 miles from F. Polynesia	-9.0175	-127.767	1.7
4441131.3	Public	-0.867	0.564	1.286	0.989	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 300 miles from F. Polynesia	-9.5711	-131.49167	1.9
4441132.3	Public	0.305	0.498	0.886	1.085	marine habitat	marine habitat	marine habitat	water	Chesapeake Bay, MD	38.133	-76.383	2.07
4441133.3	Public	5.794	11.973	13.544	10.167	marine habitat	marine habitat	marine habitat	water	Indian Ocean - Coccos Keeling, Inside Lagoon	-12.0925	96.88167	1.8
4441134.3	Public	2.921	8.648	10.227	7.537	marine habitat	marine habitat	marine habitat	water	Indian Ocean	-10.4461	88.3027	1.5
4441135.3	Public	6.117	11.998	13.376	9.945	marine habitat	marine habitat	marine habitat	water	Indian Ocean - Madagascar Waters	-26.035	50.123	2.8
4441136.3	Public	0.169	3.193	4.057	2.619	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific	-3.3433	-101.37389	2
4441137.3	Public	5.159	10.165	11.969	9.166	mine drainage	mine drainage	mine drainage	wastewater|sludge	Richmond Mine, Iron Mountain, CA	40.68	-122.522	0.05
4441138.3	Public	7.173	12.61	13.492	9.724	mine drainage ; microbial mat	mine drainage ; microbial mat	mine drainage ; microbial mat	built environment	Richmond Mine, Iron Mountain, CA	40.68	-122.522	0.05
4441139.3	Public	6.034	11.973	13.471	10.272	marine habitat	marine habitat	marine habitat	water	Indian Ocean - Coccos Keeling, Inside Lagoon	-12.0925	96.88167	1.8
4441139.4	Public	3.297	9.241	10.351	7.404	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International waters between Madagascar and South Africa	-30.8983	40.4203	1.9
4441143.3	Public	8.249	14.457	15.19	11.205	marine habitat	marine habitat	marine habitat	water	Block Island, NY	41.091	-71.602	1
4441144.3	Public	7.721	13.847	14.107	10.589	marine habitat	marine habitat	marine habitat	water	Cape May, NJ	38.94	-74.685	1
4441145.3	Public	5.964	12.297	13.367	10.028	marine habitat	marine habitat	marine habitat	water	Equatorial Pacific TAO Buoy	-1.97389	-95.01472	1.8
4441146.3	Public	7.431	13.639	14.419	10.936	marine habitat	marine habitat	marine habitat	water	Tropical South Pacific - 201 miles from F. Polynesia	-10.1314	-135.4494	30
4441147.3	Public	4.82	11.039	11.402	7.891	marine habitat	marine habitat	marine habitat	water	Indian Ocean	-8.505	80.3756	1.8
4441148.3	Public	4.761	10.969	12.522	9.055	marine habitat	marine habitat	marine habitat	water	Indian Ocean - St. Anne Island, Seychelles	-4.6136	55.5086	1.8
4441149.3	Public	8.006	14.339	14.72	10.824	marine habitat	marine habitat	marine habitat	water	Outside Seychelles, Indian Ocean	-4.635	56.8361	1.5
4441150.3	Public	6.786	12.994	13.473	9.944	marine habitat	marine habitat	marine habitat	water	Indian Ocean	-4.6625	60.5231	1.5
4441151.3	Public	5.994	12.202	14.45	10.683	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International Water Outside of Reunion Island	-23.2161	52.3061	2
4441152.3	Public	5.165	11.286	12.855	9.375	marine habitat	marine habitat	marine habitat	water	Outside Halifax, Nova Scotia	44.1372	-63.644	2
4441153.3	Public	6.53	12.863	14.479	10.525	marine habitat	marine habitat	marine habitat	water	Northern Gulf of Maine	43.632	66.8472	1
4441155.3	Public	6.262	12.38	13.464	10.241	marine habitat	marine habitat	marine habitat	water	Indian Ocean	-10.94361	92.05889	1.5
4441156.3	Public	6.108	12.441	13.147	9.701	marine habitat	marine habitat	marine habitat	water	Indian Ocean	-9.59694	84.1957	1.8
4441167.3	Public	6.125	12.384	14.152	10.043	marine habitat	marine habitat	marine habitat	water	Polynesia Archipelagos - Moorea, Cooks Bay	-17.47583	-149.812	1.4
4441205.3	Public	3.744	10.433	11.407	8.044	terrestrial biome	plant-associated habitat	organic material	plant-associated	Effretikon	47.44611	8.68694	0
4441214.3	Public	7.502	12.369	11.543	8.523	sediment	sediment	sediment	sediment	Gulf of Mexico	27.30134833	-94.38756167	-1470 ; Meter
4441215.3	Public	8.278	13.185	12.557	9.206	marine bathyal zone biome	abyssal plain	marine sediment	sediment	Gulf of Mexico	27.30134833	-94.38756167	1470
4441347.3	Public	4.822	10.661	11.387	8.28	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.8234444	-102.0147778	1
4441363.3	Public	8.6	15.021	15.521	11.139	Tropical/Subtropical Desert Division (320)	alkaline salt lake	surface water	microbial mat|biofilm	Cuatro Cienegas	26.8234444	-102.0147778	1
4441568.3	Public	5.994	12.202	14.45	10.683	marine habitat	marine habitat	marine habitat	water	Indian Ocean - International Water Outside of Reunion Island	-23.2161	52.3061	2
4441570.3	Public	8.02	14.409	15.152	11.307	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
4441571.3	Public	-2.289	2.068	2.998	1.309	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
4441572.3	Public	0.414	1.632	2.196	1.721	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
4441573.3	Public	8.465	14.698	15.611	11.701	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
4441574.3	Public	9.197	15.657	16.277	11.837	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	32.1748	-64.01017	5
4441575.3	Public	-1.68	2.343	3.094	2.006	marine habitat	marine habitat	marine habitat	water	Sargasso Sea	31.175	-64.324	5
